,ID,Title,Year,Star1,Star2,Star3,Star4,Star5
68,1345836,The Dark Knight Rises,2012,Christian Bale,Gary Oldman,Tom Hardy,Joseph Gordon-Levitt,Anne Hathaway
69,0087843,Once Upon a Time in America,1984,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams,Tuesday Weld
70,0090605,Aliens,1986,Sigourney Weaver,Carrie Henn,Michael Biehn,Paul Reiser,Lance Henriksen
71,0169547,American Beauty,1999,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,Mena Suvari
72,2380307,Coco,2017,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,Alanna Ubach,Renee Victor
73,5311514,Your Name.,2016,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki,Nobunaga Shimazaki
74,0112573,Braveheart,1995,James Robinson,Sean Lawlor,Sandy Nelson,James Cosmo,Sean McGinley
75,6751668,Parasite,2019,Kang-ho Song,Sun-kyun Lee,Yeo-jeong Jo,Woo-sik Choi,Hye-jin Jang
76,0082096,Das Boot,1981,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge
77,1187043,3 Idiots,2009,Aamir Khan,Madhavan,Sharman Joshi,Kareena Kapoor,Boman Irani
78,0986264,Like Stars on Earth,2007,Darsheel Safary,Aamir Khan,Tisca Chopra,Vipin Sharma,Sachet Engineer
79,0086190,Star Wars: Episode VI - Return of the Jedi,1983,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Anthony Daniels
80,0114709,Toy Story,1995,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn
81,0105236,Reservoir Dogs,1992,Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn,Steve Buscemi
82,0086879,Amadeus,1984,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice,Simon Callow
83,5074352,Dangal,2016,Aamir Khan,Fatima Sana Shaikh,Sanya Malhotra,Sakshi Tanwar,Aparshakti Khurana
84,0022100,M,1931,Peter Lorre,Ellen Widmann,Inge Landgut,Otto Wernicke,Theodor Loos
85,0119217,Good Will Hunting,1997,Matt Damon,Ben Affleck,Stellan Skarsgård,John Mighton,Rachel Majorowski
86,0180093,Requiem for a Dream,2000,Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans,Christopher McDonald
87,0361748,Inglourious Basterds,2009,Brad Pitt,Mélanie Laurent,Christoph Waltz,Eli Roth,Michael Fassbender
88,0052357,Vertigo,1958,James Stewart,Kim Novak,Barbara Bel Geddes,Tom Helmore,Henry Jones
89,0062622,2001: A Space Odyssey,1968,Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter,Leonard Rossiter
90,0338013,Eternal Sunshine of the Spotless Mind,2004,Jim Carrey,Kate Winslet,Gerry Robert Byrne,Elijah Wood,Thomas Jay Ryan
91,0033467,Citizen Kane,1941,Joseph Cotten,Dorothy Comingore,Agnes Moorehead,Ruth Warrick,Ray Collins
92,0093058,Full Metal Jacket,1987,Matthew Modine,Adam Baldwin,Vincent D'Onofrio,R. Lee Ermey,Dorian Harewood
93,2106476,The Hunt,2012,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm,Susse Wold
94,0053125,North by Northwest,1959,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,Leo G. Carroll
95,0066921,A Clockwork Orange,1971,Malcolm McDowell,Patrick Magee,Michael Bates,Warren Clarke,John Clive
96,0208092,Snatch,2000,Benicio Del Toro,Dennis Farina,Vinnie Jones,Brad Pitt,Rade Serbedzija
97,0211915,Amélie,2001,Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta,Serge Merlin
98,0012349,The Kid,1921,Carl Miller,Edna Purviance,Jackie Coogan,Charles Chaplin,Albert Austin
99,0040522,Bicycle Thieves,1948,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Elena Altieri,Gino Saltamerenda
100,0086250,Scarface,1983,Al Pacino,Steven Bauer,Michelle Pfeiffer,Mary Elizabeth Mastrantonio,Robert Loggia
101,0056172,Lawrence of Arabia,1962,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,Omar Sharif
102,0045152,Singin' in the Rain,1952,Gene Kelly,Donald O'Connor,Debbie Reynolds,Jean Hagen,Millard Mitchell
103,0435761,Toy Story 3,2010,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,Don Rickles
104,0075314,Taxi Driver,1976,Diahnne Abbott,Robinson Frank Adu,Victor Argo,Gino Ardito,Garth Avery
105,0070735,The Sting,1973,Paul Newman,Robert Redford,Robert Shaw,Charles Durning,Ray Walston
106,0017136,Metropolis,1927,Alfred Abel,Gustav Fröhlich,Rudolf Klein-Rogge,Fritz Rasp,Theodor Loos
107,0059578,For a Few Dollars More,1965,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè,Mario Brega,Luigi Pistilli
108,0036775,Double Indemnity,1944,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Porter Hall,Jean Heather
109,1832382,A Separation,2011,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini,Sarina Farhadi
110,0044741,Ikiru,1952,Takashi Shimura,Shin'ichi Himori,Haruo Tanaka,Minoru Chiaki,Miki Odagiri
111,0056592,To Kill a Mockingbird,1962,Gregory Peck,John Megna,Frank Overton,Rosemary Murphy,Ruth White
112,0097576,Indiana Jones and the Last Crusade,1989,Harrison Ford,Sean Connery,Denholm Elliott,Alison Doody,John Rhys-Davies
113,0053604,The Apartment,1960,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Jack Kruschen
114,3417422,Drishyam,2013,Mohanlal,Meena,Ansiba,Esther Anil,Kalabhavan Shajohn
115,1049413,Up,2009,Edward Asner,Christopher Plummer,Jordan Nagai,Bob Peterson,Delroy Lindo
116,0119488,L.A. Confidential,1997,Kevin Spacey,Russell Crowe,Guy Pearce,James Cromwell,Kim Basinger
117,8267604,Capernaum,2018,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad,Fadi Yousef
118,0071853,Monty Python and the Holy Grail,1975,Graham Chapman,John Cleese,Eric Idle,Terry Gilliam,Terry Jones
119,1255953,Incendies,2010,Mustafa Kamel,Hussein Sami,Rémy Girard,Mélissa Désormeaux-Poulin,Maxim Gaudette
120,0113277,Heat,1995,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore
